Tamaño,Algoritmo,Pivote,Promedio,Desviacion
100,MergeSort,NA,7.01756e-05,7.11824e-06
100,QuickSort,Inicio,2.09672e-05,1.77525e-06
100,QuickSort,Final,2.06449e-05,4.35461e-07
100,QuickSort,Mitad,2.11446e-05,7.40338e-07
1000,MergeSort,NA,0.000808216,7.4102e-05
1000,QuickSort,Inicio,0.000310665,0.000105031
1000,QuickSort,Final,0.000288776,2.83261e-05
1000,QuickSort,Mitad,0.000307435,5.29051e-05
10000,MergeSort,NA,0.00859321,0.00025395
10000,QuickSort,Inicio,0.0036597,0.000302205
10000,QuickSort,Final,0.00364653,0.000203368
10000,QuickSort,Mitad,0.00352859,0.000150456
100000,MergeSort,NA,0.0932541,0.000945438
100000,QuickSort,Inicio,0.0392871,0.00101641
100000,QuickSort,Final,0.0400601,0.00125937
100000,QuickSort,Mitad,0.0402005,0.00100197
1000000,MergeSort,NA,1.02159,0.0120598
1000000,QuickSort,Inicio,0.459448,0.00672045
1000000,QuickSort,Final,0.472132,0.00580003
1000000,QuickSort,Mitad,0.480053,0.0106588
10000000,MergeSort,NA,11.7774,0.402741
10000000,QuickSort,Inicio,5.70149,0.227612
10000000,QuickSort,Final,5.78765,0.156603
10000000,QuickSort,Mitad,5.91445,0.414723
